sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,weight,product_online,tax_class_name,visibility,price,special_price,url_key,brand,strain,sava_product_type,helps_with,daytime_nightime,cannabinoids,region,psychoactivity,cbd_thc_ratios,terpenes,dose,size,color,scent,flavor,qty,use_config_min_qty,is_qty_decimal,is_in_stock,stock_status,manage_stock,source_tracking_mode,configurable_variations,configurable_variation_labels,associated_skus,intro_text,short_description,description,ingredients,dosing,base_image,small_image,thumbnail_image,additional_images,internal_name,errors
S9C4PRO1,,Flower,simple,"Shop/Products/Inhale/Pre-Rolls,Shop/Explore/Cannabinoids/THC,Shop/Explore/Helps With/Appetite Stimulation,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Sleep,Shop/Explore/Helps With/Stress,Shop/Explore/Feeling/Nighttime",base,"Drippy J 1.5 Gram Infused Pre-Roll",,1,,"Catalog, Search",18,,cali-heights-drippy-j-infused-pre-roll,"Cali Heights",,Pre-Rolls,"Appetite Stimulation|Mood|Sleep|Stress",Nighttime,THC,,,,,,,,,,22,1,,1,1,1,None,,,,"Oil & crumble infused pre-roll to help with sleep and appetite stimulation.","<p>Rolled with 3 Bears OG flower, an indica dominant hybrid strain that will leave you relaxed, both in mind and body. Perfect for when your day is complete and all you want to do is chill.</p>","<p>Rolled with premium flower, this single pre-roll is covered in crude cannabis oil and then rolled once more in crumble concentrate. Rolled with 3 Bears OG flower, an indica dominant hybrid strain that will leave you relaxed, both in mind and body. Perfect for when your day is complete and all you want to do is chill.</p>",,"<p>28.3% THC</p>",https://images.ctfassets.net/4a6u5f7bz40f/22yWMfm3GQTBeCpQsZH61y/4d0e0469fcb46fef6909adc1c93e2225/cali-heights-preroll-1.5g.jpg,https://images.ctfassets.net/4a6u5f7bz40f/22yWMfm3GQTBeCpQsZH61y/4d0e0469fcb46fef6909adc1c93e2225/cali-heights-preroll-1.5g.jpg,https://images.ctfassets.net/4a6u5f7bz40f/22yWMfm3GQTBeCpQsZH61y/4d0e0469fcb46fef6909adc1c93e2225/cali-heights-preroll-1.5g.jpg,,"Cali Heights - Drippy J 1.5 Gram Infused Pre-Roll","Category ""Shop/Products/Inhale/Pre-Rolls"" has not been created. URL key for specified store already exists."
S86EPRO1,,Concentrates,simple,"Shop/Products/Inhale/Vaping,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Hybrid/Indica-Dominant,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Appetite Stimulation,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Sleep,Shop/Explore/Helps With/Stress,Shop/Explore/Feeling/Nighttime",base,"Lemon OG 1g Cartridge",,1,,"Catalog, Search",33,,cali-heights-lemon-og-1g-cartridge,"Cali Heights","Indica-Dominant Hybrid",Vaping,"Anxiety|Appetite Stimulation|Mood|Sleep|Stress",Nighttime,THC,,,,,,,,,,23,1,,1,1,1,None,,,,"1 gram indica-hybrid cartridge for a heavy, sleepy feeling.","<p>A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation.</p>","<p>Lemon OG, also known as &quot;Lemon OG Kush,&quot; is an indica-dominant marijuana strain. Anything this skunky indica-hybrid lacks in longevity, it makes up for in speed. A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation. While Lemon OG has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. Lemon OG tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. The strain is great for stress relief and increasing appetite.</p>","<p>100% Cannabis oil extract</p>","<p>Attach to a standard vape pen battery. Take 1-3 inhales until desired effect is achieved.</p>",https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,,"Cali Heights - Lemon OG 1g Cartridge","Category ""Shop/Products/Inhale/Vaping"" has not been created. URL key for specified store already exists."
S420PRO1,,Concentrates,simple,"Shop/Products/Inhale/Vaping,Shop/Explore/Cannabinoids/THC,Shop/Explore/Cannabinoids/CBD,Shop/Explore/Strain/Indica,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Creativity,Shop/Explore/Helps With/Focus,Shop/Explore/Feeling/Nighttime",base,"Sky OG 1 Gram Cartridge",,1,,"Catalog, Search",33,,cali-heights-sky-og-1g-cartridge,"Cali Heights",Indica,Vaping,Mood|Stress|Creativity|Focus,Nighttime,THC|CBD,Mendocino,,,,,,,,,33,1,,1,1,1,None,,,,"1 gram indica cartridge that provides relaxation and encourages creativity.","<p>Getting its name from where it takes you, Sky OG is a solid indica leaning strain. Great for sitting in-front of a fire, watching a movie, or getting creative projects done.</p>","<p>Getting its name from where it takes you, Sky OG is a solid indica leaning strain. Great for sitting in-front of a fire or watching a movie, many users like the creativity a few hits of this cart affords.</p>","<p>100% Cannabis oil extract</p>","<p>0.5% CBD - 78.8% THC
Attach to a standard vape pen battery. Take 1-3 inhales until desired effect is achieved.</p>",https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,,"Cali Heights - Sky OG 1 Gram Cartridge","Category ""Shop/Products/Inhale/Vaping"" has not been created. URL key for specified store already exists."
SB7CPRO1,,Accessories,simple,Shop/Products/Other/Batteries,base,"510 Rechargeable Battery",,1,,"Catalog, Search",16,,cali-heights-battery,"Cali Heights",,"Vaping Batteries",,,,,,,,,,,,,28,1,,1,1,1,None,,,,"Rechargeable battery that is long-lasting and breath-activated.","<p>The Cali Heights 350 mAh rechargeable battery has no button and is breath-activated. Compatible with Cali Heights cartridges and most 510 threaded cartridges.</p>","<p>The Cali Heights 350 mAh rechargeable battery has no button and is breath activated. Enclosed in an all stainless steel case, our long-lasting battery is compatible with most 510 threaded cartridges.</p>",,,https://images.ctfassets.net/4a6u5f7bz40f/3J7S5u2pgJJN0i3NM3lliL/096b11662bc07317f415ae6f6a8d79e5/cali-heights-_battery2.jpg,https://images.ctfassets.net/4a6u5f7bz40f/3J7S5u2pgJJN0i3NM3lliL/096b11662bc07317f415ae6f6a8d79e5/cali-heights-_battery2.jpg,https://images.ctfassets.net/4a6u5f7bz40f/3J7S5u2pgJJN0i3NM3lliL/096b11662bc07317f415ae6f6a8d79e5/cali-heights-_battery2.jpg,,"Cali Heights - 510 Rechargeable Battery","Category ""Shop/Products/Other/Batteries"" has not been created. URL key for specified store already exists."
S136PRO1,,Concentrates,simple,"Shop/Products/Inhale/Vaping,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Indica,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Appetite Stimulation,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Sleep,Shop/Explore/Helps With/Stress,Shop/Explore/Feeling/Nighttime",base,"Watermelon OG 1g Cartridge",,1,,"Catalog, Search",33,,cali-heights-watermelon-og-1g-cartridge,"Cali Heights",Indica,Vaping,"Anxiety|Appetite Stimulation|Mood|Sleep|Stress",Nighttime,THC,,,,,,,,,,22,1,,1,1,1,None,,,,"1 gram indica cartridge to help you relax.","<p>Surfing for a movie to watch?  Sunday night blahs?  This is the strain you want to inhale to make you high and your body chill.  Should help with your aches and pains and general relaxation.</p>","<p>Watermelon OG is our Indica offering.  Surfing for a movie to watch?  Sunday night blahs?  This is the strain you want to inhale to make you high and your body chill.  Should help with your aches and pains and general relaxation.
Going for a run on the beach?  Try one of our other strains!  Watermelon OG is for those looking to zone-out, relieve muscle aches and just chill.  This is a head to toe relaxer.  Many people report this strain leading to the munchies, so be prepared with some(relatively) healthy snacks.</p>","<p>100% Cannabis oil extract</p>","<p>THC 83% CBD 0.18%
Attach to a standard vape pen battery. Take 1-3 inhales until desired effect is achieved.</p>",https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,,"Cali Heights - Watermelon OG 1g Cartridge","Category ""Shop/Products/Inhale/Vaping"" has not been created. URL key for specified store already exists."
SEB1PRO1,,Concentrates,simple,"Shop/Products/Inhale/Vaping,Shop/Explore/Cannabinoids/THC,Shop/Explore/Cannabinoids/CBD,Shop/Explore/Strain/Indica,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Muscle pain,Shop/Explore/Helps With/Pain,Shop/Explore/Helps With/Stress,Shop/Explore/Feeling/Nighttime",base,"Northern Lights 1 Gram Cartridge",,1,,"Catalog, Search",33,,cali-heights-northern-lights-1g-cartridge,"Cali Heights",Indica,Vaping,"Mood|Muscle pain|Pain|Stress",Nighttime,THC|CBD,Mendocino,,,,,,,,,4,1,,1,1,1,None,,,,"1 gram indica cartridge for creativity and to soothe the body.","<p>Deeply earthy and piney with herbal notes that recall bay leaves, Northern Lights delivers legendary potency to uplift the mind with focused creativity and soothe the body with heavily numbing comfort.</p>","<p>Deeply earthy and piney with herbal notes that recall bay leaves, Northern Lights delivers legendary potency to uplift the mind with focused creativity and soothe the body with heavily numbing comfort.</p>","<p>100% Cannabis oil extract</p>","<p>Attach to a standard vape pen battery. Take 1-3 inhales until desired effect is achieved.</p>",https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5rIDhgueaazjnmdSMgbfZy/d2d57eceda767ffdc26358d205a38fe1/cali-heights-indica-1gcart.jpg,,"Cali Heights - Northern Lights 1 Gram Cartridge","Category ""Shop/Products/Inhale/Vaping"" has not been created. URL key for specified store already exists."
S2E5PRO1,,Concentrates,simple,"Shop/Products/Inhale/Vaping,Shop/Explore/Cannabinoids/THC,Shop/Explore/Cannabinoids/CBD,Shop/Explore/Strain/Sativa,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Daytime",base,"Super Silver Haze 1 Gram Cartridge",,1,,"Catalog, Search",33,,cali-heights-super-silver-haze-1g-cartridge,"Cali Heights",Sativa,Vaping,Mood|Energy|Stress|Energizing|Socializing,Daytime,THC|CBD,Mendocino,,,,,,,,,29,1,,1,1,1,None,,,,"1 gram sativa cartridge that provides an energizing body high and euphoric effects.","<p>Super Silver Haze is an energetic and uplifting strain that lends well to outdoor activities. Helps improve mood, relieve stress, and stimulates appetite.</p>","<p>Super Silver Haze is a sativa dominant strain that has existed for quite some time.  This is definitely an energetic and uplifting strain that lends well to outdoor activities.</p>","<p>100% Cannabis oil extract</p>","<p>0.5% CBD - 79.3% THC
Attach to a standard vape pen battery. Take 1-3 inhales until desired effect is achieved.</p>",https://images.ctfassets.net/4a6u5f7bz40f/6mUiUHHw62nUTf4TF4U65I/1f285bdd0a92821a35c13338d79c6dfa/cali-heights-sativa-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6mUiUHHw62nUTf4TF4U65I/1f285bdd0a92821a35c13338d79c6dfa/cali-heights-sativa-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6mUiUHHw62nUTf4TF4U65I/1f285bdd0a92821a35c13338d79c6dfa/cali-heights-sativa-1gcart.jpg,,"Cali Heights - Super Silver Haze 1 Gram Cartridge","Category ""Shop/Products/Inhale/Vaping"" has not been created. URL key for specified store already exists."
SEF2PRO1,,Tinctures,simple,"Shop/Products/Ingest/Tincture,Shop/Explore/Cannabinoids/THC,Shop/Explore/Cannabinoids/CBD,Shop/Explore/Strain/CBD,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Inflammation,Shop/Explore/Helps With/Pain,Shop/Explore/Helps With/Stress,Shop/Explore/Feeling/Anytime",base,"Serpentine CBD Tincture",,1,,"Catalog, Search",44,,chemistry-serpentine-cbd-tincture,Chemistry,CBD,Tincture,Anxiety|Mood|Inflammation|Pain|Stress,Anytime,THC|CBD,"Humboldt County",,,,,,,,,21,1,,1,1,1,None,,,,"Tinctures for wellness and relaxation","<p>Serpentine is a one way ticket straight to the chill zone. Knock off the edge without the slouch.</p>","<p>Ready for some relaxation in your life? Our Serpentine tincture is a one way ticket straight to the chill zone. Knock off the edge without the slouch.
GROWN BY: Moon Made Farms</p>","<p>Organic coconut MCT oil, full-spectrum cannabis extract (whole flower) and steam-distilled cannabis terpenes.</p>","<p>Approximately 7.6 mg CBD - 4.3 mg THC per 1 ml dose | 229 mg CBD - 129 THC per package</p>",https://images.ctfassets.net/4a6u5f7bz40f/5O8zcF0PMtvySCW2whVQ2/92d0fcc4dd4ab5f20f827929a0260132/Chemistry_Tincture_Serpentine_045.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5O8zcF0PMtvySCW2whVQ2/92d0fcc4dd4ab5f20f827929a0260132/Chemistry_Tincture_Serpentine_045.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5O8zcF0PMtvySCW2whVQ2/92d0fcc4dd4ab5f20f827929a0260132/Chemistry_Tincture_Serpentine_045.jpg,,"Chemistry - Serpentine CBD Tincture","Category ""Shop/Products/Ingest/Tincture"" has not been created. URL key for specified store already exists."
SEBDPRO1,,Edibles,simple,"Shop/Products/Ingest/Edibles,Shop/Explore/Cannabinoids/THC,Shop/Explore/Cannabinoids/CBD,Shop/Explore/Helps With/Appetite Stimulation,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Anytime,Shop/Explore/High/Low",base,"Nünchi Milky Fruity 1:1 CBD Delights",,1,,"Catalog, Search",40,,rose-eat-nuenchi-milky-fruity-delights,Rose,,Edibles,"Appetite Stimulation|Mood|Energy|Energizing|Socializing",Anytime,THC|CBD,,Low,,,Low,,,,,30,1,,1,1,1,None,,,,"Edibles infused with  Harlequin x J13 flower rosin and coconut, strawberry, and yuzu.","<p>These Delights were made to be squished together so you can taste “milky” and “fruity” in one bite while only consuming 5mg THC total, with a wide spectrum of other cannabinoids and terpenes in every bite.</p>","<p>Our food art dreams become a reality with these new @eatnunchi Delights! If you don’t know Lexie Park of Nünchi, you can see her amazing work here. This special release contains two flavors in one box - recreating the experience of a Nünchi jelly cake.
SF Milkman coconut water (Milky) and Chino Farms Albion strawberry + yuzu (Fruity). Infused with a Harlequin x J13 from Coastal Sun: a native 1:1 flower rosin containing 2.5mg of THC and 2mg of CBD. These Delights were made to be squished together so you can taste “milky” and “fruity” in one bite while only consuming 5mg THC total, with a wide spectrum of other cannabinoids and terpenes in every bite.</p>
<p><strong>About the Strain</strong>
1:1 CBD strain that leans sativa, but has CBD to soften the edge. Great for summer days in the sun.</p>","<p>Ingredients: strawberries*, yuzu*, coconut water, coconut milk powder, water, cane sugar*, tapioca syrup, non-gmo potato starch, mct coconut oil, non-gmo citric acid, cannabis flower rosin, kosher salt
Gluten Free, Vegan</p>","<p>Approximately 2.5mg of THC and 2mg of CBD per piece<br>
50 mg CBD - 40 mg THC per box</p>
<p>20 Delights per box</p>
<p>Exact dosing may vary from batch to batch.</p>",https://images.ctfassets.net/4a6u5f7bz40f/6yCheqiYlJ1EnsJxyCp4qu/e54da4cbe80aaf46edc559eb029fb989/Nunchi-Menu-THC.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6yCheqiYlJ1EnsJxyCp4qu/e54da4cbe80aaf46edc559eb029fb989/Nunchi-Menu-THC.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6yCheqiYlJ1EnsJxyCp4qu/e54da4cbe80aaf46edc559eb029fb989/Nunchi-Menu-THC.jpg,,"Rose - Nünchi Milky Fruity 1:1 CBD Delights","Category ""Shop/Products/Ingest/Edibles"" has not been created. URL key for specified store already exists."
SF03PRO1,,Edibles,simple,"Shop/Products/Ingest/Edibles,Shop/Explore/Strain/Hybrid/Indica-Dominant,Shop/Explore/Helps With/Creativity,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Anytime",base,"Salted Caramel, Chocolate & Almond Granola Bar",,1,,"Catalog, Search",5.5,,atlas-edibles-salted-caramel-chocolate-and-almond-granola-bar,Atlas,"Indica-Dominant Hybrid",Edibles,Creativity|Energizing|Socializing,Anytime,,,,,,,,,,,36,1,,1,1,1,None,,,,"Salted caramel, chocolate & almond sativa-dominant granola edible.","<p>This bar promotes positivity, functionality and creativity. The decadent salted caramel and dark chocolate are rounded out by toasted almonds and puffed rice for a delicious flavor and crunchy, satisfying texture.</p>","<p>Tasting Notes: The decadent salted caramel and dark chocolate are rounded out by toasted almonds and puffed rice for a delicious flavor and crunchy, satisfying texture.</p>","<p>Oats, Almonds, Dark Chocolate, Coconut Cream (Coconut, Water, Guar Gum), Sugar, Honey, Puffed Rice, Cannabis Infused Coconut Oil, Natural Flavors, Salt, Gum Arabic
Contains, Tree Nuts (Almonds, Coconut). Manufactured in a facility that processes: Soy, Tree Nuts, Wheat, Seeds.</p>
<p>Approximately 10mg THC per serving, serving Size 1 bar, servings per container 1, Calories 170, Calories from Fat 42.5, Total Fat 8g (10%DV), Saturated Fat 3.5g (18%DV), Trans Fat 0g (0%DV), Cholesterol 0mg (0%DV), Sodium 125mg (5%DV), Total Carbohydrate 21g (8%DV), Dietary Fiber 2g (7%DV), Total Sugars 11g, Added Sugars 3g (6%DV), Protein 4g, Calcium 21mg (2%DV), Iron 1mg (6%DV), Potassium 93mg (2%DV)</p>","<p>10 mg THC per serving; 1 serving per package.<br>
Wait 45min-2hrs before eating more.</p>",https://images.ctfassets.net/4a6u5f7bz40f/2RPHSOY5VMOd6yWdLyZws1/c2d54d52db2ed475d8eb92c7e83d4854/Screen_Shot_2021-08-03_at_1.18.23_PM.png,https://images.ctfassets.net/4a6u5f7bz40f/2RPHSOY5VMOd6yWdLyZws1/c2d54d52db2ed475d8eb92c7e83d4854/Screen_Shot_2021-08-03_at_1.18.23_PM.png,https://images.ctfassets.net/4a6u5f7bz40f/2RPHSOY5VMOd6yWdLyZws1/c2d54d52db2ed475d8eb92c7e83d4854/Screen_Shot_2021-08-03_at_1.18.23_PM.png,https://images.ctfassets.net/4a6u5f7bz40f/5rPbUIWg7iucLWVYBsIQmi/783fdd28b320ac5d069b3652fca42ad8/atlas-all-products-with-ing-PEAK-1300x750-1.jpeg,"Atlas - Salted Caramel, Chocolate & Almond Granola Bar","Category ""Shop/Products/Ingest/Edibles"" has not been created. URL key for specified store already exists."
